Symptoms,Disease,Description,Precautions,Disclaimer
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, increased thirst",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, fatigue, frequent urination, increased thirst, slow healing",Diabetes,A chronic condition affecting glucose metabolism.,"Monitor blood sugar, Healthy diet, Regular exercise, Take medication","MedChain+ can make mistakes, so don't panic."
"blurred vision, chest pain, dizziness, headache, nosebleeds",Hypertension,A condition where the force of blood against artery walls is high.,"Low salt diet, Exercise, Monitor BP, Avoid stress","MedChain+ can make mistakes, so don't panic."
"blurred vision, chest pain, dizziness, headache, nosebleeds",Hypertension,A condition where the force of blood against artery walls is high.,"Low salt diet, Exercise, Monitor BP, Avoid stress","MedChain+ can make mistakes, so don't panic."
"chest pain, dizziness, headache, nosebleeds",Hypertension,A condition where the force of blood against artery walls is high.,"Low salt diet, Exercise, Monitor BP, Avoid stress","MedChain+ can make mistakes, so don't panic."
